table_name,flights_column_name,flights_data_type,flights_is_categorical,flights_unit,table_name,flights_test_column_name,flights_test_data_type,flights_test_is_categorical,flights_test_unit,table_name,fuel_comsumption_column_name,fuel_comsumption_data_type,fuel_comsumption_is_categorical,fuel_comsumption_unit,table_name,passengers_column_name,passengers_data_type,passengers_is_categorical,passengers_unit
flights,fl_date,text,1,yyyy-mm-dd,flights_test,fl_date,timestamp without time zone,1,yyy-mm-dd,fuel_comsumption,month,bigint,1,index,passengers,departures_scheduled,double precision,0,count
flights,mkt_unique_carrier,text,1,,flights_test,mkt_unique_carrier,text,1,,fuel_comsumption,airline_id,double precision,1,,passengers,departures_performed,double precision,0,count
flights,branded_code_share,text,1,,flights_test,branded_code_share,text,1,,fuel_comsumption,unique_carrier,text,1,,passengers,payload,double precision,0,pounds
flights,mkt_carrier,text,1,,flights_test,mkt_carrier,text,1,,fuel_comsumption,carrier,text,1,,passengers,seats,double precision,0,count
flights,mkt_carrier_fl_num,integer,1,,flights_test,mkt_carrier_fl_num,bigint,1,,fuel_comsumption,carrier_name,text,1,,passengers,passengers,double precision,0,count
flights,op_unique_carrier,text,1,,flights_test,op_unique_carrier,text,1,,fuel_comsumption,carrier_group_new,bigint,1,,passengers,freight,double precision,0,pounds
flights,tail_num,text,1,,flights_test,tail_num,text,1,,fuel_comsumption,sdomt_gallons,double precision,0,gallons,passengers,mail,double precision,0,pounds
flights,op_carrier_fl_num,integer,1,,flights_test,op_carrier_fl_num,bigint,1,,fuel_comsumption,satl_gallons,double precision,0,gallons,passengers,distance,double precision,0,miles
flights,origin_airport_id,integer,1,,flights_test,origin_airport_id,bigint,1,,fuel_comsumption,spac_gallons,double precision,0,gallons,passengers,ramp_to_ramp,double precision,0,minutes
flights,origin,text,1,,flights_test,origin,text,1,,fuel_comsumption,slat_gallons,double precision,0,gallons,passengers,air_time,double precision,0,minutes
flights,origin_city_name,text,1,,flights_test,origin_city_name,text,1,,fuel_comsumption,sint_gallons,double precision,0,gallons,passengers,unique_carrier,text,1,
flights,dest_airport_id,integer,1,,flights_test,dest_airport_id,bigint,1,,fuel_comsumption,ts_gallons,double precision,0,gallons,passengers,airline_id,bigint,1,
flights,dest,text,1,,flights_test,dest,text,1,,fuel_comsumption,tdomt_gallons,double precision,0,gallons,passengers,unique_carrier_name,text,1,
flights,dest_city_name,text,1,,flights_test,dest_city_name,text,1,,fuel_comsumption,tint_gallons,double precision,0,gallons,passengers,region,text,1,
flights,crs_dep_time,integer,0,hhmm local,flights_test,crs_dep_time,bigint,0,hhmm local,fuel_comsumption,total_gallons,double precision,0,gallons,passengers,carrier,text,1,
flights,dep_time,double precision,0,hhmm local,flights_test,crs_arr_time,bigint,0,hhmm local,fuel_comsumption,sdomt_cost,double precision,0,dollars,passengers,carrier_name,text,1,
flights,dep_delay,double precision,0,actual - scheduled (minutes),flights_test,dup,text,1,Duplicate flag marked Y if the flight is swapped based on Form-3A data,fuel_comsumption,satl_cost,double precision,0,dollars,passengers,carrier_group,bigint,1,
flights,taxi_out,double precision,0,minutes,flights_test,crs_elapsed_time,bigint,0,minutes,fuel_comsumption,spac_cost,double precision,0,dollars,passengers,carrier_group_new,bigint,1,
flights,wheels_off,double precision,0,hhmm local,flights_test,flights,bigint,0,count,fuel_comsumption,slat_cost,double precision,0,dollars,passengers,origin_airport_id,bigint,1,
flights,wheels_on,double precision,0,hhmm local,flights_test,distance,bigint,0,miles,fuel_comsumption,sint_cost,double precision,0,dollars,passengers,origin_city_market_id,bigint,1,
flights,taxi_in,double precision,0,minutes,,,,,,fuel_comsumption,ts_cost,double precision,0,dollars,passengers,origin,text,1,
flights,crs_arr_time,integer,0,hhmm local,,,,,,fuel_comsumption,tdomt_cost,double precision,0,dollars,passengers,origin_city_name,text,1,
flights,arr_time,double precision,0,hhmm local,,,,,,fuel_comsumption,tint_cost,double precision,0,dollars,passengers,origin_country,text,1,
flights,arr_delay,double precision,0,actual - scheduled (minutes),,,,,,fuel_comsumption,total_cost,double precision,0,dollars,passengers,origin_country_name,text,1,
flights,cancelled,double precision,1,1=Yes,,,,,,fuel_comsumption,year,bigint,1,index,passengers,dest_airport_id,bigint,1,
flights,cancellation_code,text,1,,,,,,,,,,,,passengers,dest_city_market_id,bigint,1,
flights,diverted,double precision,1,1=Yes,,,,,,,,,,,passengers,dest,text,1,
flights,dup,text,1,Duplicate flag marked Y if the flight is swapped based on Form-3A data,,,,,,,,,,,passengers,dest_city_name,text,1,
flights,crs_elapsed_time,double precision,0,minutes,,,,,,,,,,,passengers,dest_country,text,1,
flights,actual_elapsed_time,double precision,0,minutes,,,,,,,,,,,passengers,dest_country_name,text,1,
flights,air_time,double precision,0,minutes,,,,,,,,,,,passengers,aircraft_group,bigint,1,
flights,flights,double precision,0,count,,,,,,,,,,,passengers,aircraft_type,bigint,1,
flights,distance,double precision,0,miles,,,,,,,,,,,passengers,aircraft_config,bigint,1,
flights,carrier_delay,double precision,0,minutes,,,,,,,,,,,passengers,year,bigint,1,index
flights,weather_delay,double precision,0,minutes,,,,,,,,,,,passengers,month,bigint,1,index
flights,nas_delay,double precision,0,minutes,,,,,,,,,,,passengers,distance_group,bigint,1,"Distance Intervals, every 500 Miles, for Flight Segment"
flights,security_delay,double precision,0,minutes,,,,,,,,,,,passengers,class,text,1,service class
flights,late_aircraft_delay,double precision,0,minutes,,,,,,,,,,,passengers,data_source,text,1,
flights,first_dep_time,text,0,hhmm local,,,,,,,,,,,,,,,
flights,total_add_gtime,double precision,0,minutes,,,,,,,,,,,,,,,
flights,longest_add_gtime,double precision,0,minutes,,,,,,,,,,,,,,,
flights,no_name,double precision,,,,,,,,,,,,,,,,,