month,year,carrier,total_gallons
4,2017,EV,100179
5,2017,EV,104685
6,2017,EV,14037
7,2017,EV,108679
8,2017,EV,4676
9,2017,EV,3367
10,2017,EV,0
11,2017,EV,2639
12,2017,EV,0
1,2018,EV,0
2,2018,EV,0
3,2018,EV,0
4,2018,EV,0
5,2018,EV,0
6,2018,EV,0
7,2018,EV,0
8,2018,EV,0
9,2018,EV,0
10,2018,EV,0
11,2018,EV,0
12,2018,EV,0
1,2019,EV,0
3,2019,EV,0
4,2019,EV,0
5,2019,EV,0
6,2019,EV,0
7,2019,EV,0
8,2019,EV,0
9,2019,EV,0
1,2015,F9,14970324
2,2015,F9,13364124
3,2015,F9,15364973
4,2015,F9,15227014
5,2015,F9,16821545
6,2015,F9,16727512
7,2015,F9,17161435
8,2015,F9,16890270
9,2015,F9,16003377
10,2015,F9,16936487
11,2015,F9,17411106
12,2015,F9,18048961
1,2016,F9,16155531
2,2016,F9,15240623
3,2016,F9,16416821
4,2016,F9,16071313
5,2016,F9,17174618
6,2016,F9,18090996
7,2016,F9,20527999
8,2016,F9,20001579
9,2016,F9,19196296
10,2016,F9,19272192
11,2016,F9,18590427
12,2016,F9,18878199
1,2017,F9,18870467
2,2017,F9,16526900
3,2017,F9,18790131
4,2017,F9,18652207
5,2017,F9,20112257
6,2017,F9,20723521
7,2017,F9,22292839
8,2017,F9,21545784
9,2017,F9,19609531
10,2017,F9,21509022
11,2017,F9,21041441
12,2017,F9,22205074
1,2018,F9,22206391
2,2018,F9,20163955
3,2018,F9,21438371
4,2018,F9,21089364
5,2018,F9,22315422
6,2018,F9,22096787
7,2018,F9,22419797
8,2018,F9,22889818
9,2018,F9,21150675
10,2018,F9,21816709
11,2018,F9,21315382
12,2018,F9,22195128
1,2019,F9,21842481
2,2019,F9,20082594
3,2019,F9,22140202
4,2019,F9,21622508
5,2019,F9,24591649
6,2019,F9,24596330
7,2019,F9,26676552
8,2019,F9,26032547
9,2019,F9,24188904
1,2015,FCQ,114398
2,2015,FCQ,36398
3,2015,FCQ,169651
1,2015,FX,92522570
2,2015,FX,86405903
3,2015,FX,93340611
4,2015,FX,93297251
5,2015,FX,90621506
6,2015,FX,88825884
7,2015,FX,94388028
8,2015,FX,88394637
9,2015,FX,89688508
10,2015,FX,94482894
11,2015,FX,87628851
12,2015,FX,109771233
1,2016,FX,88713921
2,2016,FX,84288159
3,2016,FX,98487077
4,2016,FX,92095004
5,2016,FX,89515467
6,2016,FX,92488481
7,2016,FX,90794613
8,2016,FX,93368352
9,2016,FX,90585315
10,2016,FX,91921777
11,2016,FX,94692621
12,2016,FX,108339193
1,2017,FX,91096231
2,2017,FX,84828338
3,2017,FX,101281769
4,2017,FX,93372724
5,2017,FX,95993283
6,2017,FX,96719275
7,2017,FX,92766262
8,2017,FX,101753303
9,2017,FX,95801784
10,2017,FX,98566651
11,2017,FX,103025938
12,2017,FX,109744410
1,2018,FX,95932133
2,2018,FX,91503290
3,2018,FX,102762136
4,2018,FX,93075082
5,2018,FX,100255770
6,2018,FX,97780314
7,2018,FX,94493414
8,2018,FX,101305201
9,2018,FX,95333355
10,2018,FX,103132330
11,2018,FX,105424004
12,2018,FX,110256966
1,2019,FX,102433846
2,2019,FX,91273323
3,2019,FX,101332662
4,2019,FX,97834857
5,2019,FX,104114388
6,2019,FX,96506510
7,2019,FX,97439638
8,2019,FX,100380202
9,2019,FX,92489207
1,2015,G4,10542221
2,2015,G4,10759142
3,2015,G4,14700823
4,2015,G4,12232341
5,2015,G4,11747610
6,2015,G4,14380696
7,2015,G4,16007770
8,2015,G4,12825543
9,2015,G4,8684843
10,2015,G4,11672418
11,2015,G4,12449136
12,2015,G4,13948952
1,2016,G4,12264170
2,2016,G4,12815963
3,2016,G4,16442818
4,2016,G4,13408496
5,2016,G4,13615505
6,2016,G4,17128733
7,2016,G4,18352864
8,2016,G4,14225856
9,2016,G4,11608073
10,2016,G4,13580127
11,2016,G4,13489524
12,2016,G4,15863821
1,2017,G4,14466463
2,2017,G4,14160937
3,2017,G4,18222665
4,2017,G4,15957439
5,2017,G4,15460025
6,2017,G4,18440370
7,2017,G4,18881989
8,2017,G4,14662825
9,2017,G4,10801631
10,2017,G4,14985776
11,2017,G4,14363349
12,2017,G4,16159401
1,2018,G4,14184029
2,2018,G4,14997636
3,2018,G4,19458333
4,2018,G4,16643107
5,2018,G4,16130026
6,2018,G4,18742682
7,2018,G4,19950318
8,2018,G4,15869106
9,2018,G4,11196654
10,2018,G4,14711791
11,2018,G4,14978888
12,2018,G4,14608670
1,2019,G4,12784069
2,2019,G4,13990478
3,2019,G4,19699007
4,2019,G4,17389313
5,2019,G4,16494800
6,2019,G4,20179468
7,2019,G4,21699207
8,2019,G4,16210186
9,2019,G4,10533970
1,2015,G7,0
2,2015,G7,0
3,2015,G7,0
4,2015,G7,0
5,2015,G7,0
6,2015,G7,0
7,2015,G7,0
8,2015,G7,0
9,2015,G7,0
10,2015,G7,0
11,2015,G7,0
12,2015,G7,0
1,2016,G7,0
2,2016,G7,0
3,2016,G7,0
4,2016,G7,0
5,2016,G7,0
6,2016,G7,0
7,2016,G7,0
8,2016,G7,0
9,2016,G7,0
10,2016,G7,0
11,2016,G7,0
12,2016,G7,0
1,2017,G7,0
2,2017,G7,0
3,2017,G7,0
4,2017,G7,0
5,2017,G7,0
6,2017,G7,0
7,2017,G7,0
8,2017,G7,0
9,2017,G7,0
10,2017,G7,0
11,2017,G7,0
12,2017,G7,0
1,2018,G7,0
2,2018,G7,0
3,2018,G7,0
4,2018,G7,0
5,2018,G7,0
6,2018,G7,0
7,2018,G7,0
8,2018,G7,0
9,2018,G7,0
10,2018,G7,0
11,2018,G7,0
12,2018,G7,0
1,2019,G7,0
2,2019,G7,0
3,2019,G7,0
4,2019,G7,0
5,2019,G7,0
6,2019,G7,0
7,2019,G7,0
8,2019,G7,0
9,2019,G7,0
1,2015,GFQ,163631
2,2015,GFQ,356400
3,2015,GFQ,299891
4,2015,GFQ,162682
5,2015,GFQ,293388
6,2015,GFQ,386719
7,2015,GFQ,168974
8,2015,GFQ,380804
9,2015,GFQ,440227
10,2015,GFQ,475722
11,2015,GFQ,424233
12,2015,GFQ,204474
1,2016,GFQ,131560
2,2016,GFQ,130011
3,2016,GFQ,227116
4,2016,GFQ,193760
5,2016,GFQ,218880
6,2016,GFQ,444215
7,2016,GFQ,280938
8,2016,GFQ,419475
9,2016,GFQ,362486
10,2016,GFQ,529566
11,2016,GFQ,275784
12,2016,GFQ,320450
1,2017,GFQ,168885
2,2017,GFQ,268116
3,2017,GFQ,303908
4,2017,GFQ,204125
5,2017,GFQ,428488
6,2017,GFQ,503430
7,2017,GFQ,333892
8,2017,GFQ,395929
9,2017,GFQ,488408
10,2017,GFQ,498862
11,2017,GFQ,422386
12,2017,GFQ,188435
1,2018,GFQ,457372
2,2018,GFQ,504777
3,2018,GFQ,348144
4,2018,GFQ,362500
5,2018,GFQ,348074
6,2018,GFQ,343781
7,2018,GFQ,222317
8,2018,GFQ,269611
9,2018,GFQ,353458
10,2018,GFQ,377688
11,2018,GFQ,318721
12,2018,GFQ,224092
1,2019,GFQ,358893
2,2019,GFQ,326772
3,2019,GFQ,389396
4,2019,GFQ,245110
5,2019,GFQ,211819
6,2019,GFQ,253033
7,2019,GFQ,200761
8,2019,GFQ,252935
9,2019,GFQ,372345
1,2015,GL,681942
2,2015,GL,544764
3,2015,GL,700135
4,2015,GL,623927
5,2015,GL,447947
6,2015,GL,543154
7,2015,GL,622112
8,2015,GL,586305
9,2015,GL,423044
10,2015,GL,604477
11,2015,GL,618926
12,2015,GL,541850
1,2016,GL,685968
2,2016,GL,666446
3,2016,GL,715715
4,2016,GL,570483
5,2016,GL,538444
6,2016,GL,624061
7,2016,GL,335264
8,2016,GL,340747
9,2016,GL,454825
10,2016,GL,568857
11,2016,GL,684378
12,2016,GL,454005
1,2017,GL,707760
2,2017,GL,570930
3,2017,GL,786515
4,2017,GL,628025
5,2017,GL,468363
6,2017,GL,457985
7,2017,GL,405223
8,2017,GL,344266
9,2017,GL,595069
10,2017,GL,730406
11,2017,GL,726877
12,2017,GL,533403
1,2018,GL,597256
2,2018,GL,678252
3,2018,GL,1011298
4,2018,GL,610402
5,2018,GL,476121
6,2018,GL,600251
7,2018,GL,444342
8,2018,GL,355463
9,2018,GL,274208
10,2018,GL,398972
11,2018,GL,544841
12,2018,GL,580129
1,2019,GL,619859
2,2019,GL,723391
3,2019,GL,944698
4,2019,GL,515654
5,2019,GL,402992
6,2019,GL,469034
7,2019,GL,458574
8,2019,GL,355481
9,2019,GL,504243
1,2015,HA,19847972
2,2015,HA,17799491
3,2015,HA,19350510
4,2015,HA,18281495
5,2015,HA,19681745
6,2015,HA,20034824
7,2015,HA,21092541
8,2015,HA,21083133
9,2015,HA,19003431
10,2015,HA,19389746
11,2015,HA,18723100
12,2015,HA,19895570
1,2016,HA,19966717
2,2016,HA,18180766
3,2016,HA,19708114
4,2016,HA,18932506
5,2016,HA,19669417
6,2016,HA,21096167
7,2016,HA,22418860
8,2016,HA,22361065
9,2016,HA,20137607
10,2016,HA,20442501
11,2016,HA,19556847
12,2016,HA,21637621
1,2017,HA,21508669
2,2017,HA,18921063
3,2017,HA,21307977
4,2017,HA,20592990
5,2017,HA,21576830
6,2017,HA,22336661
7,2017,HA,22875940
8,2017,HA,22835410
9,2017,HA,21448120
10,2017,HA,22055390
11,2017,HA,21601109
12,2017,HA,22876656
1,2018,HA,22432193
2,2018,HA,20036922
3,2018,HA,22810112
4,2018,HA,22267505
5,2018,HA,23034848
6,2018,HA,23317519
7,2018,HA,24095994
8,2018,HA,24845433
9,2018,HA,23191353
10,2018,HA,22843334
11,2018,HA,21758910
12,2018,HA,23148471
1,2019,HA,22626587
2,2019,HA,19951048
3,2019,HA,21943156
4,2019,HA,22033896
5,2019,HA,22905599
6,2019,HA,22337825
7,2019,HA,23281392
8,2019,HA,23783183
9,2019,HA,22684624
1,2015,K8,188404
2,2015,K8,242224
3,2015,K8,262477
4,2015,K8,239642
5,2015,K8,279150
6,2015,K8,449031
7,2015,K8,466806
8,2015,K8,384638
9,2015,K8,294940
11,2015,K8,221135
12,2015,K8,86120
1,2016,K8,89102
2,2016,K8,36971
3,2016,K8,72598
4,2016,K8,42477
5,2016,K8,59314
6,2016,K8,50209
7,2016,K8,189716
8,2016,K8,143895
9,2016,K8,113344
10,2016,K8,147238
11,2016,K8,183686
12,2016,K8,234956
1,2017,K8,94508
2,2017,K8,256150
3,2017,K8,253687
4,2017,K8,215268
5,2017,K8,235358
1,2015,KAQ,2416631
2,2015,KAQ,4882305
3,2015,KAQ,5769488
4,2015,KAQ,3280106
5,2015,KAQ,4148479
6,2015,KAQ,3675460
7,2015,KAQ,2284442
8,2015,KAQ,2177996
9,2015,KAQ,2859895
10,2015,KAQ,3345582
11,2015,KAQ,4137371
12,2015,KAQ,5308406
1,2016,KAQ,3460627
2,2016,KAQ,2811192
3,2016,KAQ,2446627
4,2016,KAQ,3651174
5,2016,KAQ,2070043
6,2016,KAQ,2475442
7,2016,KAQ,2721438
8,2016,KAQ,3630319
9,2016,KAQ,3641277
10,2016,KAQ,4225535
11,2016,KAQ,7197586
12,2016,KAQ,5293232
1,2017,KAQ,3573983
2,2017,KAQ,2846293
3,2017,KAQ,3440566
4,2017,KAQ,4203311
5,2017,KAQ,4345315
6,2017,KAQ,3992915
7,2017,KAQ,5673017
8,2017,KAQ,3980418
9,2017,KAQ,5622529
10,2017,KAQ,5051611
11,2017,KAQ,5538633
12,2017,KAQ,5326362
1,2018,KAQ,3817201
2,2018,KAQ,4055093
3,2018,KAQ,4632109
4,2018,KAQ,5694803
5,2018,KAQ,6010657
6,2018,KAQ,6124625
7,2018,KAQ,6182863
8,2018,KAQ,6009584
9,2018,KAQ,6944826
10,2018,KAQ,7990676
11,2018,KAQ,8628044
12,2018,KAQ,6880214
1,2019,KAQ,5414448
2,2019,KAQ,5711413
3,2019,KAQ,6937093
4,2019,KAQ,7745919
5,2019,KAQ,6490378
6,2019,KAQ,7697011
7,2019,KAQ,6441271
8,2019,KAQ,7836911
9,2019,KAQ,6432213
1,2015,KD,45079
2,2015,KD,0
3,2015,KD,578428
4,2015,KD,0
5,2015,KD,29333
6,2015,KD,25547
7,2015,KD,18317
8,2015,KD,111859
9,2015,KD,8723
10,2015,KD,2233
11,2015,KD,34116
12,2015,KD,33462
1,2016,KD,0
2,2016,KD,18351
3,2016,KD,40542
4,2016,KD,7812
5,2016,KD,14921
6,2016,KD,282032
7,2016,KD,168903
8,2016,KD,34354
9,2016,KD,127867
10,2016,KD,1874135
11,2016,KD,2186205
12,2016,KD,1433197
1,2017,KD,656035
2,2017,KD,366045
3,2017,KD,1600468
4,2017,KD,988503
5,2017,KD,2737032
7,2017,KD,1993708
8,2017,KD,1911288
9,2017,KD,2368002
10,2017,KD,2580174
11,2017,KD,3750732
12,2017,KD,1355011
1,2018,KD,1084109
2,2018,KD,1930478
3,2018,KD,976230
4,2018,KD,2042779
5,2018,KD,1810784
6,2018,KD,2263773
7,2018,KD,3637110
8,2018,KD,3102800
9,2018,KD,2434192
10,2018,KD,3355162
11,2018,KD,4403406
12,2018,KD,2192151
1,2019,KD,2765790
2,2019,KD,2262644
3,2019,KD,3255721
4,2019,KD,2461468
5,2019,KD,2099089
6,2019,KD,2921018
7,2019,KD,2508964
8,2019,KD,1333450
9,2019,KD,2560152
1,2015,KH,469255
2,2015,KH,403514
3,2015,KH,419295
4,2015,KH,432138
5,2015,KH,414753
6,2015,KH,448352
7,2015,KH,422110
8,2015,KH,435947
9,2015,KH,429319
10,2015,KH,446107
11,2015,KH,433446
12,2015,KH,480374
1,2016,KH,413456
2,2016,KH,412808
3,2016,KH,458733
4,2016,KH,417640
5,2016,KH,420758
6,2016,KH,414878
7,2016,KH,420630
8,2016,KH,453731
9,2016,KH,434148
10,2016,KH,442368
11,2016,KH,432701
12,2016,KH,478937
1,2017,KH,436860
2,2017,KH,406852
3,2017,KH,447281
4,2017,KH,427115
5,2017,KH,446198
6,2017,KH,435471
7,2017,KH,414024
8,2017,KH,456380
9,2017,KH,394002
10,2017,KH,420655
11,2017,KH,434131
12,2017,KH,497855
1,2018,KH,432202
2,2018,KH,397609
3,2018,KH,426607
4,2018,KH,385347
5,2018,KH,404001
6,2018,KH,385855
7,2018,KH,380174
8,2018,KH,386511
9,2018,KH,363038
10,2018,KH,380174
11,2018,KH,404924
12,2018,KH,478286
1,2019,KH,432202
2,2019,KH,338518
3,2019,KH,388491
4,2019,KH,392414
5,2019,KH,387931
6,2019,KH,396366
7,2019,KH,429557
8,2019,KH,423687
9,2019,KH,390699
1,2015,KLQ,140872
2,2015,KLQ,225442
3,2015,KLQ,225923
4,2015,KLQ,116938
5,2015,KLQ,203321
6,2015,KLQ,254185
7,2015,KLQ,131742
8,2015,KLQ,239031
9,2015,KLQ,386630
10,2015,KLQ,305281
11,2015,KLQ,279709
12,2015,KLQ,181653
1,2016,KLQ,137646
2,2016,KLQ,94537
3,2016,KLQ,252913
4,2016,KLQ,156202
5,2016,KLQ,235564
6,2016,KLQ,127070
7,2016,KLQ,170132
8,2016,KLQ,239099
9,2016,KLQ,327271
10,2016,KLQ,359698
11,2016,KLQ,157639
12,2016,KLQ,128713
1,2017,KLQ,108463
2,2017,KLQ,205184
3,2017,KLQ,166560
4,2017,KLQ,95918
5,2017,KLQ,265314
6,2017,KLQ,309284
7,2017,KLQ,114339
8,2017,KLQ,257837
9,2017,KLQ,212898
10,2017,KLQ,275368
11,2017,KLQ,327692
12,2017,KLQ,174519
1,2018,KLQ,168862
2,2018,KLQ,205189
3,2018,KLQ,237757
4,2018,KLQ,144176
5,2018,KLQ,158255
6,2018,KLQ,161744
7,2018,KLQ,119455
8,2018,KLQ,204878
9,2018,KLQ,222695
10,2018,KLQ,293289
11,2018,KLQ,358665
12,2018,KLQ,167131
1,2019,KLQ,192731
2,2019,KLQ,215582
3,2019,KLQ,359403
4,2019,KLQ,228067
5,2019,KLQ,156660
6,2019,KLQ,148153
7,2019,KLQ,126688
8,2019,KLQ,114311
9,2019,KLQ,150717
1,2015,L2,101851
2,2015,L2,113361
3,2015,L2,116240
4,2015,L2,195715
5,2015,L2,199054
6,2015,L2,153039
7,2015,L2,244628
8,2015,L2,200673
9,2015,L2,192408
10,2015,L2,288572
11,2015,L2,446560
1,2016,L2,252782
2,2016,L2,199100
3,2016,L2,248283
4,2016,L2,195894
5,2016,L2,240210
6,2016,L2,197857
7,2016,L2,255601
8,2016,L2,251512
9,2016,L2,161921
10,2016,L2,160496
11,2016,L2,165644
12,2016,L2,141535
1,2017,L2,185756
2,2017,L2,122220
3,2017,L2,136075
4,2017,L2,158955
5,2017,L2,167770
6,2017,L2,311281
7,2017,L2,315006
8,2017,L2,212215
9,2017,L2,247765
10,2017,L2,210736
11,2017,L2,232131
12,2017,L2,244274
1,2018,L2,212671
2,2018,L2,204640
3,2018,L2,183939
4,2018,L2,196223
5,2018,L2,299886
6,2018,L2,297357
7,2018,L2,297382
8,2018,L2,262850
9,2018,L2,194394
10,2018,L2,183110
11,2018,L2,258151
12,2018,L2,219581
1,2019,L2,199796
2,2019,L2,128692
3,2019,L2,186550
4,2019,L2,167474
5,2019,L2,358406
6,2019,L2,397811
7,2019,L2,413022
8,2019,L2,309511
9,2019,L2,333868
1,2015,M6,1691365
2,2015,M6,1673605
3,2015,M6,1931649
4,2015,M6,1817657
5,2015,M6,2090800
6,2015,M6,2278489
7,2015,M6,2041035
8,2015,M6,1855787
9,2015,M6,1752672
10,2015,M6,2060129
11,2015,M6,2192379
12,2015,M6,2447610
1,2016,M6,1791448
2,2016,M6,1787901
3,2016,M6,1806465
4,2016,M6,1858471
5,2016,M6,1759865
6,2016,M6,1874919
7,2016,M6,1892766
8,2016,M6,1876138
9,2016,M6,1718127
10,2016,M6,1806079
11,2016,M6,1974710
12,2016,M6,2450305
1,2017,M6,1620745
2,2017,M6,1646861
3,2017,M6,1834172
4,2017,M6,1620026
5,2017,M6,1826508
6,2017,M6,2059940
7,2017,M6,1831679
8,2017,M6,1848240
9,2017,M6,1676743
10,2017,M6,2401629
11,2017,M6,2100622
12,2017,M6,2176853
1,2018,M6,1832524
2,2018,M6,1781504
3,2018,M6,2207192
4,2018,M6,2026569
5,2018,M6,1985370
6,2018,M6,1841354
7,2018,M6,1752148
8,2018,M6,1683147
9,2018,M6,1615715
10,2018,M6,1763174
11,2018,M6,1906676
12,2018,M6,2020452
1,2019,M6,1772892
2,2019,M6,1863005
3,2019,M6,2328831
4,2019,M6,2271221
5,2019,M6,2308945
6,2019,M6,2190840
7,2019,M6,2368963
8,2019,M6,2329836
9,2019,M6,2074241
1,2015,MQ,0
2,2015,MQ,0
3,2015,MQ,0
4,2015,MQ,0
5,2015,MQ,0
6,2015,MQ,0
7,2015,MQ,0
8,2015,MQ,0
9,2015,MQ,0
10,2015,MQ,0
11,2015,MQ,0
12,2015,MQ,0
1,2016,MQ,0
2,2016,MQ,0
3,2016,MQ,0
4,2016,MQ,0
5,2016,MQ,0
6,2016,MQ,0
7,2016,MQ,0
8,2016,MQ,0
9,2016,MQ,0
10,2016,MQ,0
11,2016,MQ,0
12,2016,MQ,0
1,2017,MQ,0
2,2017,MQ,0
3,2017,MQ,0
4,2017,MQ,0
5,2017,MQ,0
6,2017,MQ,0
7,2017,MQ,0
8,2017,MQ,0
9,2017,MQ,0
10,2017,MQ,0
11,2017,MQ,0
12,2017,MQ,0
1,2018,MQ,0
2,2018,MQ,0
3,2018,MQ,0
4,2018,MQ,0
5,2018,MQ,0
6,2018,MQ,0
7,2018,MQ,0
8,2018,MQ,0
9,2018,MQ,0
10,2018,MQ,0
11,2018,MQ,0
12,2018,MQ,0
1,2019,MQ,0
2,2019,MQ,0
3,2019,MQ,0
4,2019,MQ,0
5,2019,MQ,0
6,2019,MQ,0
7,2019,MQ,0
8,2019,MQ,0
9,2019,MQ,0
1,2015,MRQ,410414
2,2015,MRQ,932050
3,2015,MRQ,596769
4,2015,MRQ,1604979
5,2015,MRQ,391218
6,2015,MRQ,339832
7,2015,MRQ,840221
8,2015,MRQ,857599
9,2015,MRQ,640536
10,2015,MRQ,807938
11,2015,MRQ,827484
12,2015,MRQ,592781
1,2016,N8,775909
2,2016,N8,1006336
3,2016,N8,777659
4,2016,N8,1389500
5,2016,N8,666666
6,2016,N8,457022
7,2016,N8,686281
8,2016,N8,712312
9,2016,N8,1060622
10,2016,N8,1593467
11,2016,N8,1834117
12,2016,N8,1171509
1,2017,N8,1243257
2,2017,N8,891013
3,2017,N8,1175172
4,2017,N8,1127142
5,2017,N8,1296511
6,2017,N8,836365
7,2017,N8,527273
8,2017,N8,890920
9,2017,N8,904736
10,2017,N8,862490
11,2017,N8,338310
12,2017,N8,257600
1,2018,N8,1113523
2,2018,N8,857540
3,2018,N8,1456056
4,2018,N8,1044570
5,2018,N8,1155700
6,2018,N8,1384394
7,2018,N8,1176339
8,2018,N8,2070072
9,2018,N8,1002604
10,2018,N8,914262
11,2018,N8,243548
12,2018,N8,49702
1,2019,N8,798009
2,2019,N8,304554
3,2019,N8,1134904
4,2019,N8,1431538
5,2019,N8,1165113
6,2019,N8,547775
7,2019,N8,895061
8,2019,N8,111071
9,2019,N8,392264
1,2015,NC,329481
2,2015,NC,346870
3,2015,NC,534148
4,2015,NC,460887
5,2015,NC,563865
6,2015,NC,652296
7,2015,NC,568049
8,2015,NC,615573
9,2015,NC,587910
10,2015,NC,688066
11,2015,NC,551684
12,2015,NC,508870
1,2016,NC,446891
2,2016,NC,377896
3,2016,NC,412385
4,2016,NC,463105
5,2016,NC,466942
6,2016,NC,558685
7,2016,NC,502881
8,2016,NC,596056
9,2016,NC,491123
10,2016,NC,578939
11,2016,NC,444693
12,2016,NC,506112
1,2017,NC,366428
2,2017,NC,347703
3,2017,NC,483373
4,2017,NC,398710
5,2017,NC,398594
6,2017,NC,562388
7,2017,NC,567281
8,2017,NC,588708
9,2017,NC,515535
10,2017,NC,571000
11,2017,NC,484949
12,2017,NC,461368
1,2018,NC,477375
2,2018,NC,436015
3,2018,NC,559269
4,2018,NC,
5,2018,NC,449176
6,2018,NC,532920
7,2018,NC,556701
8,2018,NC,529533
9,2018,NC,471127
10,2018,NC,447821
11,2018,NC,389857
12,2018,NC,401947
1,2019,NC,388494
2,2019,NC,282780
3,2019,NC,328645
4,2019,NC,322129
5,2019,NC,210015
6,2019,NC,407071
7,2019,NC,421503
8,2019,NC,465418
9,2019,NC,368557
1,2015,NK,19040521
2,2015,NK,17589928
3,2015,NK,20092769
4,2015,NK,20331870
5,2015,NK,21818540
6,2015,NK,20923341
7,2015,NK,22618458
8,2015,NK,23634074
9,2015,NK,21431289
10,2015,NK,21954524
11,2015,NK,22066118
12,2015,NK,22446578
1,2016,NK,23516807
2,2016,NK,21981422
3,2016,NK,20051000
4,2016,NK,24715453
5,2016,NK,26414317
6,2016,NK,25883552
7,2016,NK,26510281
8,2016,NK,27159053
9,2016,NK,24618614
10,2016,NK,24717921
11,2016,NK,25214102
12,2016,NK,26997853
1,2017,NK,26626529
2,2017,NK,24596370
3,2017,NK,27840616
4,2017,NK,27726318
